user1_id,files_shared,user2_id
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,1,d760ad4e2ff9e4a0939c39654aba54d7266ca42a21d786c22644bedec6e578ad
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,2,5d5a538e14aff5f47c5e021c83ecb0779644191ee7fe44c60a766191db0c7f1a
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,5,c417a3e9ea599f6d608692b5e714ece8cb79fb1bc7e031a2c98771ad595da84a
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,1,8eb1a6e961ece2c02fac5709d223e53617f7b1cf0adbb8f2cc150992f59a9877
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,1,7591335f0c94bcc7ee8019a1c891e5e64af9eaee5de6734b6fba5a0947cd1066
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,1,1ff010c7c2385d490de0c40d23c78b5b5bd9af0c55b9649a91a992fb03d6a478
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,3,62b6c03d3d340bab4e8f437bccd130dc9cd1bb57b7bc0ce817b4afcb46cbd8b5
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,4,72aa3b30e9264ef5221f6a0267e4a92975d3a7965f7874d2e57844d3597be07b
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,4,6ec1f8762b675386e1308c1a8cb670d6b792223e8b7d09a3e83c598f955e1940
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,1,dff93b2c90c9524d4e8b60e42b103292209dbe88a0143b15a58d79f49f60b02a
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,3,9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,3,dffda5881281b0f8e69962bbc439411c46016c63ba82a8a0bf24dbeb5b572dc6
9a6de47dd53891889090e1bb9691c3f7d996cb068b7f3fd6c0767f695b1b41ad,4,814d92dafe0fd7b5c5855d5664bd4114fe75b3250210e7497681ac02b9cec8ce
a12ebffd1fb8201604f93d2f8fa8f19603b83be4452d07d8dcccf38ac2bf418a,1,e045221c2f88120f589523290abca0a1529a06943e56406773ed3d94474edfe0
a12ebffd1fb8201604f93d2f8fa8f19603b83be4452d07d8dcccf38ac2bf418a,1,e267c87e0686564f4611b8b30250fe2b3da9d1f696f135b24f1d10e66ccfec37
a12ebffd1fb8201604f93d2f8fa8f19603b83be4452d07d8dcccf38ac2bf418a,1,eaeb6383e86c232fea72f0c0a5343082dee14110d559a7ead48488a0cd33efa2
a12ebffd1fb8201604f93d2f8fa8f19603b83be4452d07d8dcccf38ac2bf418a,1,6ba1a891d1613bec7e50bcdd8d3cc602a976638d947ff04df6ed9d26c600722d
a12ebffd1fb8201604f93d2f8fa8f19603b83be4452d07d8dcccf38ac2bf418a,1,e67048d32a29564f8d4b996950302415dd6d746a2addf047552de35595e9b41a
a12ebffd1fb8201604f93d2f8fa8f19603b83be4452d07d8dcccf38ac2bf418a,1,aaa5ebfc28b3bb53f93d3c31217145ee5ac3ce0b9d8fd6ead34684b394f478b5
